Temps,Position X,Position Y,Position Z
147,1597,0,0,0
147,1658,0,0,0
147,1708,0,0,0
147,1766,0,0,0
147,1825,0,0,0
147,1878,0,0,0
147,1928,0,0,0
147,1991,0,0,0
147,2044,0,0,0
147,2105,0,0,0
147,2167,0,0,0
147,2227,0,0,0
147,2276,0,0,0
147,2337,0,0,0
147,2398,0,0,0
147,2449,0,0,0
147,2501,0,0,0
147,2565,0,0,0
147,2627,0,0,0
147,2684,0,0,0
147,2737,0,0,0
147,2789,0,0,0
147,2842,0,0,0
147,2897,0,0,0
147,2947,0,0,0
147,3,0,0,0
147,3051,0,0,0
147,3104,0,0,0
147,3187,0,0,0
147,3241,0,0,0
147,3293,0,0,0
147,3349,0,0,0
147,3402,0,0,0
147,3454,0,0,0
147,3507,0,0,0
147,356,0,0,0
147,3613,0,0,0
147,3668,0,0,0
147,3722,0,0,0
147,3776,0,0,0
147,3827,0,0,0
147,3878,0,0,0
147,3932,0,0,0
147,3985,0,0,0
147,4036,0,0,0
147,4087,0,0,0
147,414,0,0,0
147,4192,0,0,0
147,4243,0,0,0
147,4295,0,0,0
147,4348,0,0,0
147,4402,0,0,0
147,4456,0,0,0
147,4508,0,0,0
147,4571,0,0,0
147,4625,0,0,0
147,4678,0,0,0
147,4732,0,0,0
147,4795,0,0,0
147,4862,0,0,0
147,4915,0,0,0
147,4974,0,0,0
147,5036,0,0,0
147,5096,0,0,0
147,515,0,0,0
147,5212,0,0,0
147,5273,0,0,0
147,5338,0,0,0
147,5393,0,0,0
147,5457,0,0,0
147,5523,0,0,0
147,5584,0,0,0
147,5639,0,0,0
147,5704,0,0,0
147,5768,0,0,0
147,5833,0,0,0
147,5895,0,0,0
147,595,0,0,0
147,6016,0,0,0
147,608,0,0,0
147,6143,0,0,0
147,6199,0,0,0
147,6266,0,0,0
147,6334,0,0,0
147,6396,0,0,0
147,646,0,0,0
147,6518,0,0,0
147,6583,0,0,0
147,6645,0,0,0
147,6712,0,0,0
147,6777,0,0,0
147,684,0,0,0
147,6903,0,0,0
147,6965,0,0,0
147,7032,0,0,0
147,7094,0,0,0
147,7149,0,0,0
147,7216,0,0,0
147,728,0,0,0
147,7344,0,0,0
147,7399,0,0,0
147,7456,0,0,0
147,7518,0,0,0
147,7574,0,0,0
147,7628,0,0,0
147,7696,0,0,0
147,7758,0,0,0
147,7824,0,0,0
147,788,0,0,0
147,7935,0,0,0
147,7991,0,0,0
147,8048,0,0,0
147,8105,0,0,0
147,8161,0,0,0
147,8218,0,0,0
147,8274,0,0,0
147,8331,0,0,0
147,8386,0,0,0
147,8439,0,0,0
147,8498,0,0,0
147,8554,0,0,0
147,8608,0,0,0
147,8666,0,0,0
147,8722,0,0,0
147,8777,0,0,0
147,8831,0,0,0
147,8886,0,0,0
147,8941,0,0,0
147,8998,0,0,0
147,9054,0,0,0
147,9108,0,0,0
147,9164,0,0,0
147,9221,0,0,0
147,9276,0,0,0
147,9333,0,0,0
147,9391,0,0,0
147,9446,0,0,0
147,9503,0,0,0
147,9556,0,0,0
147,9613,0,0,0
147,9669,0,0,0
147,9725,0,0,0
147,978,0,0,0
147,9836,0,0,0
147,9893,0,0,0
147,9948,0,0,0
148,0005,0,0,0
148,0061,0,0,0
